,usage_end_time,cost,usage_amount,usage_unit,service_type
12375,2023-12-12 12:00:00,0.0,1.0,requests,Cloud Storage
12376,2023-12-12 12:00:00,0.0,3.0,requests,Cloud Storage
12971,2023-12-12 18:00:00,0.0,2.0,requests,Cloud Storage
12972,2023-12-12 18:00:00,0.0,6.0,requests,Cloud Storage
14289,2023-12-13 6:00:00,0.0,32.0,bytes,Cloud Storage
14290,2023-12-13 6:00:00,0.0,32.0,bytes,Cloud Storage
14318,2023-12-13 6:00:00,1e-05,1.0,requests,Cloud Storage
14368,2023-12-13 6:00:00,0.0,1.0,requests,Cloud Storage
15007,2023-12-13 12:00:00,0.0,1731.0,bytes,Cloud Storage
15008,2023-12-13 12:00:00,0.0,2841961.0,bytes,Cloud Storage
15009,2023-12-13 12:00:00,0.0,5.0,requests,Cloud Storage
15010,2023-12-13 12:00:00,0.0,1783169.0,bytes,Cloud Storage
15011,2023-12-13 12:00:00,0.0,673.0,bytes,Cloud Storage
15012,2023-12-13 12:00:00,8.4e-05,210.0,requests,Cloud Storage
15014,2023-12-13 12:00:00,0.00063,63.0,requests,Cloud Storage
15015,2023-12-13 12:00:00,3.3e-05,1783169.0,bytes,Cloud Storage
15515,2023-12-13 18:00:00,0.0,8302.0,bytes,Cloud Storage
15546,2023-12-13 18:00:00,0.0,1.0,requests,Cloud Storage
15548,2023-12-13 18:00:00,2e-05,2.0,requests,Cloud Storage
16863,2023-12-14 6:00:00,0.0,2.0,requests,Cloud Storage
17004,2023-12-14 8:00:00,0.0,7149120512.0,byte-seconds,Cloud Storage
17381,2023-12-14 12:00:00,0.0,379916.0,bytes,Cloud Storage
17390,2023-12-14 12:00:00,0.0001,10.0,requests,Cloud Storage
17391,2023-12-14 12:00:00,9e-06,24.0,requests,Cloud Storage
17425,2023-12-14 12:00:00,5e-06,272143.0,bytes,Cloud Storage
17430,2023-12-14 12:00:00,0.0,149.0,requests,Cloud Storage
17431,2023-12-14 12:00:00,0.0,3.0,requests,Cloud Storage
17432,2023-12-14 12:00:00,0.0,272143.0,bytes,Cloud Storage
18168,2023-12-14 18:00:00,0.0,176.0,requests,Cloud Storage
18880,2023-12-15 0:00:00,0.0,176.0,requests,Cloud Storage
19558,2023-12-15 6:00:00,0.0,185.0,requests,Cloud Storage
19813,2023-12-15 8:00:00,0.0,6381545472.0,byte-seconds,Cloud Storage
20233,2023-12-15 12:00:00,0.0,173.0,requests,Cloud Storage
20868,2023-12-15 18:00:00,0.0,173.0,requests,Cloud Storage
21564,2023-12-16 0:00:00,0.0,179.0,requests,Cloud Storage
22230,2023-12-16 6:00:00,0.0,185.0,requests,Cloud Storage
22317,2023-12-16 8:00:00,0.0,7819458560.0,byte-seconds,Cloud Storage
22713,2023-12-16 12:00:00,0.0,169.0,requests,Cloud Storage
23420,2023-12-16 18:00:00,0.0,178.0,requests,Cloud Storage
24107,2023-12-17 0:00:00,0.0,175.0,requests,Cloud Storage
24821,2023-12-17 6:00:00,0.0,184.0,requests,Cloud Storage
25026,2023-12-17 8:00:00,0.0,7819458560.0,byte-seconds,Cloud Storage
25467,2023-12-17 12:00:00,0.0,2771384.0,bytes,Cloud Storage
25468,2023-12-17 12:00:00,0.0,169.0,requests,Cloud Storage
25474,2023-12-17 12:00:00,0.0,1742242.0,bytes,Cloud Storage
25475,2023-12-17 12:00:00,7.8e-05,195.0,requests,Cloud Storage
25477,2023-12-17 12:00:00,0.00051,51.0,requests,Cloud Storage
25481,2023-12-17 12:00:00,3.2e-05,1742242.0,bytes,Cloud Storage
26186,2023-12-17 18:00:00,0.0,3108806.0,bytes,Cloud Storage
26192,2023-12-17 18:00:00,0.0,177.0,requests,Cloud Storage
26220,2023-12-17 18:00:00,0.0,1387152.0,bytes,Cloud Storage
26221,2023-12-17 18:00:00,0.000104,260.0,requests,Cloud Storage
26223,2023-12-17 18:00:00,0.0004,40.0,requests,Cloud Storage
26242,2023-12-17 18:00:00,2.5e-05,1387152.0,bytes,Cloud Storage
26868,2023-12-18 0:00:00,0.0,176.0,requests,Cloud Storage
27575,2023-12-18 6:00:00,0.0,852610.0,bytes,Cloud Storage
27582,2023-12-18 6:00:00,0.0,184.0,requests,Cloud Storage
27615,2023-12-18 6:00:00,0.0,544286.0,bytes,Cloud Storage
27616,2023-12-18 6:00:00,2.5e-05,63.0,requests,Cloud Storage
27618,2023-12-18 6:00:00,0.00018,18.0,requests,Cloud Storage
27635,2023-12-18 6:00:00,1e-05,544286.0,bytes,Cloud Storage
27765,2023-12-18 8:00:00,0.0,312383488.0,byte-seconds,Cloud Storage
28209,2023-12-18 12:00:00,0.0,756472.0,bytes,Cloud Storage
28214,2023-12-18 12:00:00,0.00014,14.0,requests,Cloud Storage
28215,2023-12-18 12:00:00,2.4e-05,61.0,requests,Cloud Storage
28216,2023-12-18 12:00:00,6e-06,346788.0,bytes,Cloud Storage
28228,2023-12-18 12:00:00,0.0,171.0,requests,Cloud Storage
28229,2023-12-18 12:00:00,0.0,346788.0,bytes,Cloud Storage
28946,2023-12-18 18:00:00,0.0,991.0,bytes,Cloud Storage
28977,2023-12-18 18:00:00,0.0,1.0,requests,Cloud Storage
